campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2024-2025,12,15548.100000000002,12382.140000000001,2275.31,890.65,972.47,14187.220000000001,388.40999999999997,60.0,6358.96,6425.010000000002,4326.6,1405.21,627.15,1298.6200000000003,390.0797,11223.0,,18512.71,9323.569999999996,1899.430000000004,16.624538893344027,1.3853782411120024,16.301694243509722,20.421892888145237,6.254590593062817
2019-2020,13,248267.56,146807.26,95412.73999999999,6047.56,133603.17999999996,95188.89000000001,19475.489999999998,158.0,590684.3,612564.28,340409.01,246284.53999999998,3957.48,487968.0,10789.092300000002,531981.0,51291.0,,,,5.600220158238734,0.4666850131865612,54.74828498779271,82.61062635319746,53.81419143121234
2020-2021,13,297224.79,164329.22999999998,124286.11,8609.45,179856.05000000002,93694.19,23674.55,161.0,726674.39,759688.35,373402.83,318558.94,34361.37,604017.1,11032.1198,619835.0,51754.0,248267.56,677717.1599999999,-57882.159999999916,5.75426924907435,0.4795224374228625,65.8689719812506,83.1207358222711,60.51179311120046
2021-2022,13,256572.25,144718.48,102879.36000000002,8974.41,148700.9,89680.52,18190.83,143.0,586463.51,610173.92,332101.67000000004,237421.49999999994,16864.91,466996.69,11097.3437,580959.0,48607.0,297224.79,627116.05,-46157.05000000005,5.299628717344942,0.4416357264454118,52.8471971179914,79.62928332915375,57.95673538350309
2022-2023,13,322345.45000000007,173512.95,139876.3,8956.2,192554.78000000003,104700.2,25090.469999999998,161.0,697321.3299999997,729475.7799999998,369712.33999999985,303001.9099999999,24475.810000000005,557041.9999999998,11209.137400000003,609859.0,70151.0,256572.25,631548.1299999997,-21689.129999999655,6.342688063962327,0.5285573386635273,62.21007960880197,79.88311500524442,59.73553527744846
2023-2024,13,319957.23,194738.08000000002,112064.84,13154.31,186342.4,104094.72,29520.11,167.0,672872.3500000001,704321.8000000004,355361.26999999996,289330.13000000024,28140.950000000008,526131.5000000002,11344.077999999996,591746.0,71575.0,322345.45000000007,675260.5700000002,-83514.57000000018,6.4884034028113415,0.5407002835676118,59.314855733537826,78.19187398620261,58.23978411114511
2024-2025,13,255145.83000000002,150941.14,94893.0,9311.69,127011.94000000002,96070.35,32063.54,170.0,551393.4599999998,575499.0500000005,293196.7699999998,231802.15999999995,26391.15,428168.3699999997,11520.456000000002,606360.0,52970.0,319957.23,616204.8599999999,-9844.85999999987,5.049393033841283,0.4207827528201069,47.86212108270712,77.65205811472626,49.78013554052598
2019-2020,14,711.9599999999999,0.0,704.18,7.78,0.0,247.9,464.05999999999995,1.0,228.3,234.20000000000002,0.0,226.55,1.75,0.0,6.6000000000000005,114.0,,,,,74.94315789473683,6.245263157894736,34.590909090909086,0.0,0.0
2020-2021,14,753.0500000000001,0.0,745.9200000000001,7.13,0.0,260.69,492.36,1.0,187.55,193.3,0.0,187.55,0.0,0.0,6.6,137.0,,711.9599999999999,146.45999999999992,-9.459999999999923,65.96058394160585,5.496715328467154,28.41666666666667,0.0,0.0
2021-2022,14,670.6,0.0,664.36,6.24,0.0,220.88,449.72,1.0,71.75,73.45,0.0,71.75,0.0,0.0,6.6,0.0,,753.0500000000001,154.20000000000005,-154.20000000000005,,,10.871212121212121,0.0,0.0
2022-2023,14,738.77,0.0,735.52,3.25,0.0,239.26,499.51,1.0,234.1,240.29999999999998,0.0,234.1,0.0,0.0,6.6,1356.0,,670.6,165.93000000000006,1190.07,6.537787610619469,0.544815634218289,35.46969696969697,0.0,0.0
2023-2024,14,981.98,0.0,981.98,0.0,0.0,328.98,653.0,1.0,299.74,309.72,0.0,299.74,0.0,0.0,7.1907,1646.0,,738.77,56.52999999999997,1589.47,7.15902794653706,0.5965856622114216,41.68439790284673,0.0,0.0
